relation,layer,head,accuracy_select,n_correct_select,n_total_select,accuracy_test,n_correct_test,n_total_test,accuracy_dev,n_correct_dev,n_total_dev
object_det_to_noun,22,4,0.05337876206700738,94,1761,0.050761421319796954,20,394,0.052752293577981654,23,436
object_det_to_noun,22,5,0.03691084611016468,65,1761,0.03553299492385787,14,394,0.02522935779816514,11,436
object_det_to_noun,22,6,0.03691084611016468,65,1761,0.04060913705583756,16,394,0.022935779816513763,10,436
object_det_to_noun,22,7,0.2612152186257808,460,1761,0.26903553299492383,106,394,0.26376146788990823,115,436
object_det_to_noun,22,8,0.06473594548551959,114,1761,0.06091370558375635,24,394,0.05504587155963303,24,436
object_det_to_noun,22,9,0.15843270868824533,279,1761,0.13451776649746192,53,394,0.1444954128440367,63,436
object_det_to_noun,22,10,0.059057353776263484,104,1761,0.048223350253807105,19,394,0.05733944954128441,25,436
object_det_to_noun,22,11,0.06473594548551959,114,1761,0.06091370558375635,24,394,0.045871559633027525,20,436
object_det_to_noun,22,12,0.21578648495173197,380,1761,0.25380710659898476,100,394,0.24311926605504589,106,436
object_det_to_noun,22,13,0.06246450880181715,110,1761,0.03299492385786802,13,394,0.05504587155963303,24,436
object_det_to_noun,22,14,0.03861442362294151,68,1761,0.02284263959390863,9,394,0.034403669724770644,15,436
object_det_to_noun,22,15,0.09994321408290743,176,1761,0.08883248730964467,35,394,0.07110091743119266,31,436
object_det_to_noun,22,16,0.04145371947756956,73,1761,0.0532994923857868,21,394,0.04357798165137615,19,436
object_det_to_noun,22,17,0.10051107325383304,177,1761,0.08883248730964467,35,394,0.10550458715596331,46,436
object_det_to_noun,22,18,0.1362862010221465,240,1761,0.14213197969543148,56,394,0.13073394495412843,57,436
object_det_to_noun,22,19,0.043725156161272004,77,1761,0.025380710659898477,10,394,0.04128440366972477,18,436
object_det_to_noun,22,20,0.01590005678591709,28,1761,0.007614213197969543,3,394,0.016055045871559634,7,436
object_det_to_noun,22,21,0.22998296422487224,405,1761,0.23096446700507614,91,394,0.21100917431192662,92,436
object_det_to_noun,22,22,0.059057353776263484,104,1761,0.0532994923857868,21,394,0.05504587155963303,24,436
object_det_to_noun,22,23,0.14310051107325383,252,1761,0.12436548223350254,49,394,0.11238532110091744,49,436
object_det_to_noun,22,24,0.2123793299261783,374,1761,0.19796954314720813,78,394,0.17660550458715596,77,436
object_det_to_noun,22,25,0.24815445769449176,437,1761,0.23604060913705585,93,394,0.21559633027522937,94,436
object_det_to_noun,22,26,0.06587166382737081,116,1761,0.048223350253807105,19,394,0.0389908256880734,17,436
object_det_to_noun,22,27,0.49176604202157864,866,1761,0.5355329949238579,211,394,0.4908256880733945,214,436
object_det_to_noun,23,0,0.12095400340715502,213,1761,0.12690355329949238,50,394,0.11238532110091744,49,436
object_det_to_noun,23,1,0.1408290743895514,248,1761,0.13959390862944163,55,394,0.1444954128440367,63,436
object_det_to_noun,23,2,0.08631459398069279,152,1761,0.07868020304568528,31,394,0.10091743119266056,44,436
object_det_to_noun,23,3,0.0488358886996025,86,1761,0.030456852791878174,12,394,0.06880733944954129,30,436
object_det_to_noun,23,4,0.020442930153321975,36,1761,0.01015228426395939,4,394,0.022935779816513763,10,436
object_det_to_noun,23,5,0.12322544009085747,217,1761,0.12436548223350254,49,394,0.12155963302752294,53,436
object_det_to_noun,23,6,0.07325383304940375,129,1761,0.050761421319796954,20,394,0.07568807339449542,33,436
object_det_to_noun,23,7,0.017035775127768313,30,1761,0.017766497461928935,7,394,0.016055045871559634,7,436
object_det_to_noun,23,8,0.07155025553662692,126,1761,0.06852791878172589,27,394,0.06651376146788991,29,436
object_det_to_noun,23,9,0.014764338444065871,26,1761,0.012690355329949238,5,394,0.016055045871559634,7,436
object_det_to_noun,23,10,0.033503691084611015,59,1761,0.025380710659898477,10,394,0.016055045871559634,7,436
object_det_to_noun,23,11,0.06303236797274275,111,1761,0.0583756345177665,23,394,0.0481651376146789,21,436
object_det_to_noun,23,12,0.03236797274275979,57,1761,0.030456852791878174,12,394,0.027522935779816515,12,436
object_det_to_noun,23,13,0.11697898921067575,206,1761,0.1218274111675127,48,394,0.12614678899082568,55,436
object_det_to_noun,23,14,0.20499716070414536,361,1761,0.2182741116751269,86,394,0.21100917431192662,92,436
object_det_to_noun,23,15,0.08290743895513912,146,1761,0.08375634517766498,33,394,0.05963302752293578,26,436
object_det_to_noun,23,16,0.04258943781942078,75,1761,0.03807106598984772,15,394,0.022935779816513763,10,436
object_det_to_noun,23,17,0.06927881885292447,122,1761,0.07106598984771574,28,394,0.0871559633027523,38,436
object_det_to_noun,23,18,0.06189664963089154,109,1761,0.048223350253807105,19,394,0.052752293577981654,23,436
object_det_to_noun,23,19,0.044860874503123226,79,1761,0.04060913705583756,16,394,0.03669724770642202,16,436
object_det_to_noun,23,20,0.1686541737649063,297,1761,0.15228426395939088,60,394,0.16055045871559634,70,436
object_det_to_noun,23,21,0.0056785917092561046,10,1761,0.0,0,394,0.0045871559633027525,2,436
object_det_to_noun,23,22,0.05167518455423055,91,1761,0.06345177664974619,25,394,0.04128440366972477,18,436
object_det_to_noun,23,23,0.0073821692220329355,13,1761,0.0,0,394,0.006880733944954129,3,436
object_det_to_noun,23,24,0.014764338444065871,26,1761,0.005076142131979695,2,394,0.0045871559633027525,2,436
object_det_to_noun,23,25,0.14877910278250994,262,1761,0.13705583756345177,54,394,0.1536697247706422,67,436
object_det_to_noun,23,26,0.06700738216922203,118,1761,0.07868020304568528,31,394,0.08486238532110092,37,436
object_det_to_noun,23,27,0.01192504258943782,21,1761,0.005076142131979695,2,394,0.009174311926605505,4,436
object_det_to_noun,24,0,0.03180011357183418,56,1761,0.027918781725888325,11,394,0.0389908256880734,17,436
object_det_to_noun,24,1,0.003975014196479273,7,1761,0.0,0,394,0.0,0,436
object_det_to_noun,24,2,0.2021578648495173,356,1761,0.18527918781725888,73,394,0.19724770642201836,86,436
object_det_to_noun,24,3,0.0028392958546280523,5,1761,0.0,0,394,0.0022935779816513763,1,436
object_det_to_noun,24,4,0.0028392958546280523,5,1761,0.0,0,394,0.0045871559633027525,2,436
object_det_to_noun,24,5,0.0380465644520159,67,1761,0.048223350253807105,19,394,0.04128440366972477,18,436
object_det_to_noun,24,6,0.003975014196479273,7,1761,0.0,0,394,0.0022935779816513763,1,436
object_det_to_noun,24,7,0.003975014196479273,7,1761,0.005076142131979695,2,394,0.0022935779816513763,1,436
object_det_to_noun,24,8,0.0017035775127768314,3,1761,0.0,0,394,0.0,0,436
object_det_to_noun,24,9,0.011357183418512209,20,1761,0.015228426395939087,6,394,0.006880733944954129,3,436
object_det_to_noun,24,10,0.0017035775127768314,3,1761,0.0,0,394,0.0,0,436
object_det_to_noun,24,11,0.06473594548551959,114,1761,0.06852791878172589,27,394,0.05504587155963303,24,436
object_det_to_noun,24,12,0.010789324247586598,19,1761,0.017766497461928935,7,394,0.011467889908256881,5,436
object_det_to_noun,24,13,0.021578648495173196,38,1761,0.007614213197969543,3,394,0.013761467889908258,6,436
object_det_to_noun,24,14,0.05792163543441227,102,1761,0.0583756345177665,23,394,0.04128440366972477,18,436
object_det_to_noun,24,15,0.04088586030664395,72,1761,0.03553299492385787,14,394,0.034403669724770644,15,436
object_det_to_noun,24,16,0.05678591709256105,100,1761,0.0583756345177665,23,394,0.05963302752293578,26,436
object_det_to_noun,24,17,0.06984667802385008,123,1761,0.06852791878172589,27,394,0.05963302752293578,26,436
object_det_to_noun,24,18,0.2629187961385576,463,1761,0.24873096446700507,98,394,0.2545871559633027,111,436
object_det_to_noun,24,19,0.039750141964792735,70,1761,0.04060913705583756,16,394,0.03669724770642202,16,436
object_det_to_noun,24,20,0.05678591709256105,100,1761,0.0532994923857868,21,394,0.05504587155963303,24,436
object_det_to_noun,24,21,0.05735377626348666,101,1761,0.048223350253807105,19,394,0.05963302752293578,26,436
object_det_to_noun,24,22,0.05337876206700738,94,1761,0.0583756345177665,23,394,0.045871559633027525,20,436
object_det_to_noun,24,23,0.02441794434980125,43,1761,0.02030456852791878,8,394,0.013761467889908258,6,436
object_det_to_noun,24,24,0.13287904599659284,234,1761,0.1548223350253807,61,394,0.15137614678899083,66,436
