treebank,timestep,normalized_progress,depth,position_state,top1,top5,mrr,mean_rank,n_positions,n_seeds
UD_English-EWT,16,0.25,4,visible,0.0008411526758452323,0.004069594197221502,0.003053637382594225,14438.930047532614,19860,3
UD_English-EWT,16,0.25,5,masked,0.000996287778183084,0.002335542724321205,0.002765058762502138,9681.2254409961,28584,3
UD_English-EWT,16,0.25,5,visible,0.0028240781287055656,0.009318236276953953,0.006863237202880952,12492.362635028398,19860,3
UD_English-EWT,16,0.25,6,masked,0.001409666218783916,0.0037316463256581514,0.0037749877634429166,9368.88906230212,28584,3
UD_English-EWT,16,0.25,6,visible,0.0051722359546460305,0.015008277345755576,0.011253307572350338,10418.550647565002,19860,3
UD_English-EWT,16,0.25,7,masked,0.0017893531578040813,0.004991393416856248,0.004687160828048838,8907.899741378418,28584,3
UD_English-EWT,16,0.25,7,visible,0.0077967543411528424,0.019746129808786764,0.014914197519919575,9606.93827554235,19860,3
UD_English-EWT,16,0.25,8,masked,0.0017790482225241838,0.0056523654566899536,0.004615402459677909,9759.07672705759,28584,3
UD_English-EWT,16,0.25,8,visible,0.00918529990494398,0.02433717008908311,0.017431016001809366,9553.701674511472,19860,3
UD_English-EWT,16,0.25,9,masked,0.0014233594133179137,0.0045196245261827145,0.0040610202940227725,9759.689520467999,28584,3
UD_English-EWT,16,0.25,9,visible,0.00930699230124276,0.021662205848004337,0.016882048887940856,9287.7063367058,19860,3
UD_English-EWT,16,0.25,10,masked,0.0012310291590776972,0.005730534381557284,0.0048018413944428675,8763.548330107335,28584,3
UD_English-EWT,16,0.25,10,visible,0.008956236713868505,0.02411094501472115,0.017745822795008585,8292.005200554764,19860,3
UD_English-EWT,16,0.25,11,masked,0.0017717811371593167,0.0056059618942886245,0.004899970945371101,9317.25014181019,28584,3
UD_English-EWT,16,0.25,11,visible,0.009098871515862531,0.0227747012195967,0.017349944194223785,9168.274266900065,19860,3
UD_English-EWT,16,0.25,12,masked,0.0023319176653642023,0.007935445886230628,0.0067776610608956366,8558.72382840844,28584,3
UD_English-EWT,16,0.25,12,visible,0.010122184706573535,0.025228373926219138,0.018964766053790296,8601.18589717423,19860,3
UD_English-EWT,16,0.25,13,masked,0.0025413293733925167,0.007895074508327068,0.006574249448876609,8794.850989676945,28584,3
UD_English-EWT,16,0.25,13,visible,0.008909178853475015,0.024372983973765406,0.01749512213357662,9949.838735646154,19860,3
UD_English-EWT,16,0.25,14,masked,0.003261436197309356,0.008739753819512567,0.0074054276929251825,9223.971386729669,28584,3
UD_English-EWT,16,0.25,14,visible,0.01028116567401156,0.02643523799333927,0.019283956810915295,10861.88088677428,19860,3
UD_English-EWT,16,0.25,15,masked,0.0036294792709769277,0.010136715364496111,0.00844339669470213,8886.419676899573,28584,3
UD_English-EWT,16,0.25,15,visible,0.009615384059031756,0.026910608418639403,0.01920025435545942,10741.81887462209,19860,3
