layer,head,entropy,entropy_norm,entropy_no_sink,sink_mass,n_sentences,diffusion_time
0,27,2.4985138198733328,0.8643766908347607,2.5490583503246307,0.23270758165046573,400,63
1,0,2.005861559510231,0.7035894647240639,2.042553679049015,0.19582401552237572,400,63
1,1,2.7756261080503464,0.9631251379847526,2.7208812081813813,0.10539316092617809,400,63
1,2,2.0357241785526274,0.7176945157349109,2.5497032344341277,0.4646148233115673,400,63
1,3,1.6115619769692422,0.5661391551792622,1.616412039399147,0.1025989808421582,400,63
1,4,2.2162160658836365,0.7682345712184906,2.301150678098202,0.27833792687393727,400,63
1,5,1.7333452907204627,0.6044718858599663,2.1197947281599046,0.5052192262560129,400,63
1,6,2.4221345764398574,0.8414431205391883,2.3283843657374383,0.0944476183434017,400,63
1,7,1.650484132617712,0.573514121696353,1.5844406366348267,0.08103537260554732,400,63
1,8,1.3992380633950234,0.4923074409365654,1.341281836926937,0.03488483182620257,400,63
1,9,2.486999864578247,0.8635340698063374,2.4179173719882967,0.09035729698836803,400,63
1,10,1.0766143722832202,0.38010622896254065,1.0263543026149273,0.06106900283833966,400,63
1,11,1.0691938881576062,0.37198765106499193,1.0495841519534588,0.08500324035529047,400,63
1,12,1.408356723487377,0.49206497706472874,1.3396399126946925,0.11951909622643143,400,63
1,13,1.80806887537241,0.6303885012865067,1.7350433610379696,0.042248196271248165,400,63
1,14,1.389506471902132,0.48315249115228653,1.3953584285080434,0.12307361014652997,400,63
1,15,0.6991972037404776,0.2456667187064886,0.7269374521076679,0.11500626800581813,400,63
1,16,2.2018398687243463,0.7649281623959542,2.1478531622886656,0.11187665910460055,400,63
1,17,1.5225508001446724,0.5347286713123321,1.503002469688654,0.13801643137820066,400,63
1,18,2.222478595674038,0.7707376980781555,2.166384811103344,0.09960983636789024,400,63
1,19,1.3538110511004924,0.46919063687324525,1.387421340793371,0.12967941130045801,400,63
1,20,1.8383590343594551,0.6369345681369305,1.776262667030096,0.21192300433292985,400,63
1,21,2.2772625336050987,0.786767802387476,2.219609012454748,0.02582106626359746,400,63
1,22,2.6020264235138892,0.9048601825535297,2.531392058432102,0.06084654092905112,400,63
1,23,1.340093749910593,0.4669189175963402,1.3462787024676799,0.11281755054369569,400,63
1,24,1.9136618433892727,0.6591063009947539,1.9302968837320804,0.11357569589745253,400,63
1,25,2.2361663466691972,0.7870198161900044,2.189371901154518,0.032027258469024676,400,63
1,26,2.66788556098938,0.9248196345567703,2.6019976979494093,0.10742374725406989,400,63
1,27,2.5542817851901054,0.8820302534103394,2.5474446810781957,0.12797553738113493,400,63
2,0,1.7064650546759368,0.5813117527216672,1.628490302413702,0.34168253164738416,400,63
2,1,1.8852593773603439,0.6554625937342644,1.782212939709425,0.22067908093333244,400,63
2,2,1.8126150687038898,0.629997745603323,1.6911302362382412,0.15117054474540054,400,63
2,3,1.8803681318461896,0.651620895192027,1.7743302538990975,0.260279239974916,400,63
2,4,1.3440948935598136,0.4611668320000172,1.098756232112646,0.2399629481881857,400,63
2,5,1.921868044734001,0.6664462672173976,1.8194294348359108,0.15706237353384495,400,63
2,6,1.5454394927620887,0.5380716224014759,1.424909880310297,0.08940527172759176,400,63
2,7,2.2105761149525645,0.7704153057932853,2.1295890142023564,0.12517705092206596,400,63
2,8,2.2751489621400833,0.7937142986059189,2.1931652396917345,0.12549599904567002,400,63
2,9,2.3570390811562536,0.8174517273902893,2.29749458104372,0.17252302246168255,400,63
2,10,2.3396877309679986,0.8139598612487317,2.273269739449024,0.14862871300894767,400,63
2,11,2.1995380115509033,0.7638491857051849,2.147675338536501,0.17579839389771224,400,63
2,12,2.2688370791077612,0.7887544521689415,2.191948883831501,0.14478033838793636,400,63
2,13,2.2815408930182457,0.7933499275147915,2.2191403719782827,0.14493101476691664,400,63
2,14,2.5380971843004225,0.8814434453845024,2.456997508406639,0.1135955121088773,400,63
2,15,2.576522652208805,0.8942303569614887,2.511418106853962,0.12821559002622962,400,63
